Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P;2P;2PA;2P;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
394;Jarnell Stokes;C;22;TOT;7;0;2.6;0.4;0.7;0.6;0;0;;0.4;0.7;0.6;0.6;0.1;0.3;0.5;0.1;0.4;0.6;0.1;0.1;0;0;0.1;1
394;Jarnell Stokes;C;22;MEM;2;0;2;0;0;;0;0;;0;0;;;0;0;;0.5;0.5;1;0;0;0;0;0;0
394;Jarnell Stokes;C;22;MIA;5;0;2.8;0.6;1;0.6;0;0;;0.6;1;0.6;0.6;0.2;0.4;0.5;0;0.4;0.4;0.2;0.2;0;0;0.2;1.4
395;Amar'e Stoudemire;C;33;MIA;25;10;14.2;2.2;4.2;0.519;0;0;;2.2;4.2;0.519;0.519;1.1;1.5;0.73;1.3;3.2;4.5;0.7;0.4;0.8;0.9;1.3;5.4
398;Walter Tavares;C;23;ATL;10;0;6.9;1;1.8;0.556;0;0;;1;1.8;0.556;0.556;0.3;0.8;0.375;0.7;1.3;2;0.2;0.1;0.6;0.5;0.8;2.3
406;Jason Thompson;C;29;GSW;26;1;6.6;0.8;1.6;0.488;0;0;;0.8;1.6;0.488;0.488;0.7;1.1;0.643;0.3;1.7;2;0.7;0.1;0.3;0.3;1.5;2.2
411;Karl-Anthony Towns;C;20;MIN;54;54;30.1;7;12.9;0.544;0.3;0.9;0.375;6.7;12.1;0.556;0.557;2.7;3.1;0.852;2.8;7.4;10.1;1.4;0.6;1.8;2.1;3;17.1
414;Myles Turner;C;19;IND;31;8;20.3;4.2;7.9;0.533;0;0.1;0;4.2;7.9;0.537;0.533;1.5;2.3;0.648;1.2;3.8;5;0.5;0.3;1.4;0.8;2.3;9.9
416;Jonas Valanciunas;C;23;TOR;35;34;26.2;4.8;8.7;0.549;0;0;;4.8;8.7;0.549;0.549;2.8;3.8;0.742;3.3;6.1;9.4;0.9;0.4;1.2;1.5;2.5;12.3
417;Anderson Varejao;C;33;CLE;31;0;10;1;2.5;0.421;0;0;0;1;2.4;0.427;0.421;0.5;0.7;0.762;0.8;2.2;2.9;0.6;0.4;0.2;0.5;1.1;2.6
422;Nikola Vucevic;C;25;ORL;49;48;31.9;7.8;15.7;0.498;0;0.1;0.143;7.8;15.6;0.501;0.499;1.4;1.9;0.747;2.9;6;8.9;3;0.8;1.1;1.9;2.6;17
433;Hassan Whiteside;C;26;MIA;45;40;28.2;5.1;8.2;0.617;0;0;;5.1;8.2;0.617;0.617;2;3.7;0.552;3;8;11;0.3;0.5;3.9;2;2.5;12.2
444;Jeff Withey;C;25;UTA;38;9;14.7;1.9;3.5;0.545;0;0;0;1.9;3.4;0.55;0.545;1;1.4;0.717;1.3;2.6;3.9;0.4;0.5;1.3;0.7;1.6;4.8
454;Cody Zeller;C;23;CHO;45;32;24.8;3.2;6.4;0.493;0;0.2;0.1;3.1;6.2;0.507;0.495;2.4;3.3;0.733;1.8;4.4;6.2;0.9;0.9;0.7;1;3;8.8
455;Tyler Zeller;C;26;BOS;37;3;10;2.2;4.3;0.506;0;0;;2.2;4.3;0.506;0.506;0.9;1.3;0.745;0.9;1.8;2.7;0.5;0.2;0.2;0.9;1.5;5.3
1;Quincy Acy;PF;25;SAC;30;7;11.1;1.4;2.5;0.553;0.2;0.4;0.417;1.2;2.1;0.578;0.586;0.6;0.8;0.76;1.3;1.5;2.8;0.3;0.4;0.4;0.3;1.3;3.6
7;LaMarcus Aldridge;PF;30;SAS;49;49;29.7;6.9;13.7;0.504;0;0.2;0;6.9;13.4;0.513;0.504;3.3;3.9;0.838;2.5;5.9;8.4;1.4;0.3;1;1.3;2.1;17
8;Cliff Alexander;PF;20;POR;7;0;4.4;0.7;1.4;0.5;0;0;;0.7;1.4;0.5;0.5;0;0;;0.3;0.6;0.9;0;0.1;0.3;0.1;0;1.4
9;Lavoy Allen;PF;26;IND;52;21;21.7;2.6;5.2;0.5;0;0;;2.6;5.2;0.5;0.5;0.4;0.8;0.575;2.2;3.6;5.7;1;0.4;0.6;1;1.8;5.7
12;Lou Amundson;PF;33;NYK;22;0;7.4;0.9;2;0.442;0;0;;0.9;2;0.442;0.442;0.5;1;0.435;0.8;1.1;1.9;0.4;0.2;0.2;0.4;1.7;2.2
17;Ryan Anderson;PF;27;NOP;51;6;31;5.9;13.7;0.431;2.1;5.4;0.383;3.8;8.3;0.461;0.506;2.8;3.3;0.862;1.9;4;5.9;1.1;0.6;0.4;1.5;1.6;16.7
24;Darrell Arthur;PF;27;DEN;46;10;20.7;3;6.6;0.459;0.4;1.1;0.36;2.7;5.5;0.478;0.489;0.6;0.7;0.813;1.2;2.8;4;1.3;0.8;0.7;0.9;2.5;7
36;Brandon Bass;PF;30;LAL;47;0;19.1;2.4;4.5;0.526;0;0;0;2.4;4.5;0.529;0.526;1.5;1.8;0.845;1.6;2.6;4.2;1.2;0.5;0.8;0.6;1.9;6.2
43;Anthony Bennett;PF;22;TOR;15;0;4.9;0.4;1.5;0.261;0.1;0.9;0.154;0.3;0.7;0.4;0.304;0.6;0.7;0.9;0.4;1;1.4;0;0.3;0;0.3;0.5;1.5
46;Nemanja Bjelica;PF;27;MIN;46;0;17.9;1.6;3.7;0.429;0.7;2.1;0.354;0.8;1.6;0.527;0.529;0.5;0.8;0.658;0.7;2.5;3.2;1.3;0.4;0.3;0.7;2.6;4.5
55;Trevor Booker;PF;28;UTA;50;2;22.4;2.3;5.1;0.458;0.1;0.5;0.25;2.2;4.6;0.48;0.47;0.9;1.2;0.71;2.5;3.8;6.3;1;0.9;0.5;1.3;2.4;5.6
56;Chris Bosh;PF;31;MIA;53;53;33.5;6.8;14.5;0.467;1.5;4.2;0.365;5.2;10.3;0.508;0.52;4;5.1;0.795;0.9;6.5;7.4;2.4;0.7;0.6;1.5;1.9;19.1
